creditor_id,debtor_id,reason,amount,week_created,last_updated,paid
workaholic,pleaser,诶对了我突然想起来我要开会，下个月一定！,101.82,3,6,True
fish,pigeon,下周一定，真的不是故意的！下次一定！,93.33,3,7,True
slacker,pigeon,我发现我其实社恐，但不是普通的社恐，是量子叠加态社恐,134.14,4,4,True
slacker,pleaser,我的塔罗牌说今天如果出门会有血光之灾(指钱包出血),120.65,4,5,True
slacker,pleaser,诶对了我突然想起来我要开会，下下周一定！,149.91,5,5,True
slacker,pleaser,诶对了我突然想起来我突然不舒服，下周一定！,44.16,6,6,True
slacker,fish,啊不好意思刚接到通知我有急事，下周一定！,30.66,6,6,True
fish,pigeon,我刚在短视频里看到今天不宜聚餐，会破财,102.46,7,7,True
pleaser,workaholic,是这样的我要出差，下下周一定！,45.91,7,14,True
pleaser,fish,下下周一定，真的不是故意的！下次一定！,121.42,7,7,True
slacker,pleaser,啊不好意思刚接到通知我要出差，下下周一定！,110.46,8,9,True
slacker,pleaser,诶对了我突然想起来我突然不舒服，下周一定！,112.09,10,10,True
slacker,pigeon,我发现我其实社恐，但不是普通的社恐，是量子叠加态社恐,70.35,10,14,True
fish,pleaser,(全民剁手日到了。所有人因为付尾款而现金流断裂，同时快递太多导致'出门拿快递腿断了，不能赴约'。本周违约率强制飙升200%。) 而且我真的没办法！不是借口！,202.4,11,24,True
pleaser,workaholic,我的量子物理课作业还没交，教授说了不交就挂科,90.12,12,12,True
slacker,fish,我刚发现我的水瓶座水逆了今天不宜社交,126.51,12,12,True
pigeon,pleaser,下下周一定，真的不是故意的！下次一定！,61.48,15,17,True
pleaser,fish,是这样的我突然不舒服，下下周一定！,109.53,16,16,True
pleaser,pigeon,牙医预约，真的不是故意的！下次一定！,168.38,16,21,True
slacker,fish,身体不舒服，真的不是故意的！下次一定！,146.51,17,17,True
slacker,fish,啊不好意思刚接到通知我要开会，下下周一定！,116.81,18,18,True
slacker,pleaser,下下周一定，真的不是故意的！下次一定！,133.21,19,19,True
pleaser,workaholic,诶对了我突然想起来我要出差，下下周一定！,131.63,19,19,True
pigeon,slacker,啊不好意思刚接到通知我要开会，下下周一定！,90.12,20,20,True
workaholic,fish,(KPI考核季，所有人都在疯狂写PPT。卷王连续加班100小时，阿讨好被领导约谈，小鸽谎称'出差'。借口的科技含量显著提升。) 而且我真的没办法！不是借口！,55.75,23,23,True
slacker,pleaser,(KPI考核季，所有人都在疯狂写PPT。卷王连续加班100小时，阿讨好被领导约谈，小鸽谎称'出差'。借口的科技含量显著提升。) 而且我真的没办法！不是借口！,121.91,23,24,True
pleaser,fish,身体不舒服，真的不是故意的！下次一定！,140.78,24,24,True
slacker,fish,身体不舒服，真的不是故意的！下次一定！,133.17,26,26,True
slacker,pleaser,是这样的我要开会，下下周一定！,118.57,28,28,True
pleaser,fish,啊不好意思刚接到通知我要开会，下个月一定！,65.48,28,28,True
workaholic,fish,身体不舒服，真的不是故意的！下次一定！,92.66,28,28,True
slacker,pleaser,是这样的我有急事，下个月一定！,74.06,29,31,True
workaholic,fish,(天文异象！本周所有借口强制附加玄学理由。'我占卜说我今天不宜出门''我的星座运势说这周不适合社交'。借口荒谬度增加300%。) 而且我真的没办法！不是借口！,129.97,30,30,True
workaholic,pigeon,(天文异象！本周所有借口强制附加玄学理由。'我占卜说我今天不宜出门''我的星座运势说这周不适合社交'。借口荒谬度增加300%。) 而且我真的没办法！不是借口！,216.69,30,52,False
slacker,pleaser,(天文异象！本周所有借口强制附加玄学理由。'我占卜说我今天不宜出门''我的星座运势说这周不适合社交'。借口荒谬度增加300%。) 而且我真的没办法！不是借口！,166.01,30,32,True
fish,workaholic,(天文异象！本周所有借口强制附加玄学理由。'我占卜说我今天不宜出门''我的星座运势说这周不适合社交'。借口荒谬度增加300%。) 而且我真的没办法！不是借口！,57.29,30,30,True
workaholic,pleaser,下周一定，真的不是故意的！下次一定！,151.1,33,38,True
fish,pleaser,下下周一定，真的不是故意的！下次一定！,175.86,33,40,True
pleaser,fish,要陪爸妈，真的不是故意的！下次一定！,108.65,33,33,True
pleaser,pigeon,猫生病了，真的不是故意的！下次一定！,84.34,36,36,True
workaholic,pleaser,(过年了，所有人都要回老家面对七大姑八大姨的催婚。'我妈给我安排了7个相亲'成为本周最热借口。家庭债务(压岁钱)也计入社交债务表。) 而且我真的没办法！不是借口,92.81,37,38,True
slacker,fish,我的量子物理课作业还没交，教授说了不交就挂科,78.08,41,41,True
workaholic,pigeon,我的塔罗牌说今天如果出门会有血光之灾(指钱包出血),86.35,41,41,True
fish,pigeon,有快递要收，真的不是故意的！下次一定！,98.93,41,44,True
fish,pigeon,是这样的我突然不舒服，下个月一定！,178.22,43,46,True
slacker,fish,我的量子物理课作业还没交，教授说了不交就挂科,69.03,44,44,True
pigeon,pleaser,我发现我其实社恐，但不是普通的社恐，是量子叠加态社恐,149.38,44,44,True
workaholic,fish,我的塔罗牌说今天如果出门会有血光之灾(指钱包出血),148.92,46,46,True
workaholic,pleaser,今天出门的时候发现鞋带断了，这是个bad omen，我不能出门,164.45,47,52,False
fish,slacker,啊不好意思刚接到通知我突然不舒服，下下周一定！,62.06,47,48,True
fish,pleaser,啊不好意思刚接到通知我要出差，下下周一定！,103.91,48,50,True
pigeon,slacker,路上堵车，真的不是故意的！下次一定！,138.17,49,51,True
workaholic,pleaser,啊不好意思刚接到通知我突然不舒服，下个月一定！,119.99,51,52,False
